Source_ID,Site_Lat,Site_Lon,Magnitude,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth,Distance,Azimuth,RotD50_2s
1177,64.258409594681,-21.5341221991561,6.5,63.97065196482068,-21.13991030928114,2.15,37.34513989683271,-30.705633432659056,-0.2343543269895624
695,64.258409594681,-21.5341221991561,5.1,63.938525184903696,-21.41212518197897,1.85,36.1072689540228,-9.403506451021968,-1.6155025564163634
1562,64.258409594681,-21.5341221991561,5.3,64.08550000648495,-20.366999999852705,11.28,60.77527565673927,-70.69467073646854,-1.880441900998212
1562,64.258409594681,-21.5341221991561,5.3,64.08550000648495,-20.366999999852705,12.13,60.938761319480754,-70.69467073646854,-1.982238357126597
1453,64.258409594681,-21.5341221991561,5.0,63.95300000653501,-19.95199999975436,4.14,84.09821811455245,-65.44303961357987,-2.151638384177331
807,64.258409594681,-21.5341221991561,5.5,63.87114010266298,-21.81361061928908,7.82,45.82866044185843,17.39189546223776,-1.696007612872753
1559,64.258409594681,-21.5341221991561,5.3,64.01321593370038,-20.03561334755461,4.27,77.74922807590767,-68.76674171563363,-1.8178561414881296
1559,64.258409594681,-21.5341221991561,5.3,64.00200000651294,-20.0359999997748,5.07,78.23918336627138,-67.90897769474158,-2.10613268580002
1201,64.258409594681,-21.5341221991561,5.0,64.01550000646851,-20.56699999989984,3.33,54.23280039605143,-59.6329717115283,-2.239845426374907
826,64.258409594681,-21.5341221991561,5.6,63.872100006448605,-21.71800000016463,2.2,43.931720392313714,11.67672427207171,-1.0328411880348776
1329,64.258409594681,-21.5341221991561,5.6,63.90860000644789,-20.819999999958707,0.95,52.13738503163142,-41.41989704593514,-1.2794165058240146
633,64.258409594681,-21.5341221991561,6.0,63.948826710102615,-21.955824973759626,4.4,40.296092827227305,30.559662975616632,-1.252676285071369
1084,64.258409594681,-21.5341221991561,5.6,64.01010000646725,-21.253000000058503,3.3,30.9713061474922,-26.158919365086888,-1.1189777203245386
1059,64.258409594681,-21.5341221991561,5.5,64.01010000646725,-21.33400000007724,1.8,29.323065628907223,-19.281712211704843,-0.6626901046753292
552,64.258409594681,-21.5341221991561,5.5,63.91145855181322,-22.140546215243624,0.9,48.55524007148939,37.10322805187257,-1.414197463375526
825,64.258409594681,-21.5341221991561,5.6,63.90260000644706,-21.45000000010324,4.23,39.999313120504105,-5.862339401752319,-1.106499869041552
283,64.258409594681,-21.5341221991561,5.5,63.80500000804356,-22.729000000537948,3.26,77.05079616671755,48.55177526280197,-1.7135043685571862
1741,64.258409594681,-21.5341221991561,6.9,64.02688595710214,-20.23905094563944,7.4,68.27768687772615,-67.12913374076476,-0.2268287381751958
1593,64.258409594681,-21.5341221991561,5.5,64.10400000648895,-20.352999999849203,3.94,59.8499836727857,-72.76081139370912,-1.440815371534699
439,64.258409594681,-21.5341221991561,5.1,63.94152732777981,-22.01567499871287,5.08,42.59578700616406,33.35936513109013,-2.035854828061688
1332,64.258409594681,-21.5341221991561,5.6,63.98410000646231,-20.771999999947354,3.4,48.06243592880983,-50.14721689023688,-1.5334346314450986
1538,64.258409594681,-21.5341221991561,5.3,63.9701000064813,-20.151999999803508,12.2,75.35319461466558,-63.84062585742805,-2.081824831319324
8,64.258409594681,-21.5341221991561,5.0,63.8200000076498,-22.650000000480127,0.5,72.98468841145994,47.591535314157575,-2.030485234964591
8,64.258409594681,-21.5341221991561,5.0,63.81192652955647,-22.649527723252007,1.7,73.59404311302445,47.063652700992286,-2.386386248862701
1516,64.258409594681,-21.5341221991561,5.2,63.94913008621933,-19.97935938268738,13.89,84.1198809404041,-64.81406347713323,-2.245360199305813
344,64.258409594681,-21.5341221991561,5.6,63.85800000684635,-22.37600000034377,2.46,60.54189449727877,42.22904245525642,-1.5409907806286551
344,64.258409594681,-21.5341221991561,5.6,63.84723406437705,-22.37547402075869,4.06,61.50068323098453,41.46048040684608,-1.8615208095077425
1104,64.258409594681,-21.5341221991561,5.7,64.05965041953755,-21.20412462911102,6.31,28.001435634591207,-35.7438558186634,-1.614679357767988
1104,64.258409594681,-21.5341221991561,5.7,64.02554955295618,-21.20387554109607,7.56,31.37035389717635,-31.59014510998752,-1.2556673328370564
879,64.258409594681,-21.5341221991561,6.3,63.90160000645861,-21.771000000177352,2.38,41.38073544094999,16.075780274284643,-0.3011957118640856
887,64.258409594681,-21.5341221991561,6.4,63.99894222801665,-21.50897725978316,4.4,29.210636205011227,-2.4100994128932363,-0.4653258384014072
62,64.258409594681,-21.5341221991561,5.1,63.8354706915642,-22.611512847019974,1.46,70.44420114001859,47.62440651941577,-2.2223623896720817
447,64.258409594681,-21.5341221991561,5.1,63.93400000649753,-21.95500000022184,1.3,41.48390737519986,29.354041055354,-1.6531244096804314
459,64.258409594681,-21.5341221991561,5.2,63.86092139487683,-22.03034469804307,3.69,50.4944752032915,28.41565233672297,-2.02381100179994
1497,64.258409594681,-21.5341221991561,5.1,63.86797341537227,-20.24275864583499,7.0,76.66763081770765,-54.7658121092009,-2.448844850618141
517,64.258409594681,-21.5341221991561,5.4,63.95393533607346,-21.955602224170352,3.69,39.733225040216446,30.964519437857373,-1.5462705044439264
670,64.258409594681,-21.5341221991561,5.0,63.92892392608395,-21.706796566926773,4.98,37.913786553800826,12.81898586389552,-2.029178667059828
627,64.258409594681,-21.5341221991561,6.0,63.95882652660651,-21.976843485539,2.9,39.75158112042565,32.635239204072,-0.8756294618319804
1424,64.258409594681,-21.5341221991561,6.6,63.94920429233334,-20.68640197494009,2.65,53.70200172149729,-49.7519111284872,-0.5261734031536749
